turn_id,strategy_id,model_id,direction,maximum_edge,best_open_time,best_open_price,best_close_time,best_close_price,preliminary_status,causal_mode_in_status,final_capture_class,causal_reason,review_notes
2026-08-14_132024.SH_T085,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.162,13:39:33,136.186,13:39:48,136.024,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T085,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.162,13:39:33,136.186,13:39:48,136.024,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T086,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.172,13:39:48,136.024,13:40:03,136.196,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T086,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.172,13:39:48,136.024,13:40:03,136.196,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T087,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.176,13:40:03,136.196,13:40:13,136.02,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T087,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.176,13:40:03,136.196,13:40:13,136.02,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T088,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.004,13:40:13,136.02,13:40:24,136.024,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T088,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.004,13:40:13,136.02,13:40:24,136.024,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T089,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.324,13:40:24,136.024,13:42:13,135.7,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T089,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.324,13:40:24,136.024,13:42:13,135.7,causal_mode_in_review_required,unreviewed,unreviewed,,
