turn_id,market_date,code,direction,best_open_time,best_open_price,best_close_time,best_close_price,maximum_edge,maximum_matchable_hands,best_pair_tape_capacity_bonds,expected_open_side,expected_close_side,strategy_id,fill_mode,model_id,initial_inventory_bonds,maximum_inventory_bonds,inventory_before_open_strict_bonds,inventory_after_open_second_bonds,cash_before_open_strict,cash_after_open_second,opening_action_capacity_strict_bonds,opening_action_capacity_including_same_second_bonds,opening_action_capacity_low_bonds,opening_action_capacity_high_bonds,standard_or_tape_required_bonds,active_reaching_open_order_count,preexisting_reaching_open_order_count,active_reaching_open_orders,exact_capture_status,matching_open_fills,matching_close_fills,economic_pair_within_turn,economic_pair_nearby_120s,economic_pair_cross_turn_600s,preliminary_status,causal_mode_in_status,final_capture_class
2026-08-14_132026.SH_T088,2026-08-14,132026.SH,buy_then_sell,13:10:37,135.701,13:11:44,136.238,0.537,100,1000,buy,sell,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1000.0,146852.48,146852.48,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,"{""open_time"": ""13:07:15"", ""open_price"": 134.064, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:09:39"", ""close_price"": 135.92, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.856, ""gross_edge_cash"": 1856.0}","{""open_time"": ""13:07:15"", ""open_price"": 134.064, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:15:45"", ""close_price"": 136.442, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.378, ""gross_edge_cash"": 2378.0}",economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed
2026-08-14_132026.SH_T088,2026-08-14,132026.SH,buy_then_sell,13:10:37,135.701,13:11:44,136.238,0.537,100,1000,buy,sell,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,837.94,837.94,0,0,0,0,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed
2026-08-14_132026.SH_T089,2026-08-14,132026.SH,sell_then_buy,13:11:44,136.238,13:13:21,135.303,0.935,100,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1000.0,146852.48,146852.48,1000,1000,1000,1000,1000,0,0,[],best_pair_close_leg_matched_only,[],"[{""order_id"": 754, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""13:13:24"", ""side"": ""buy"", ""price"": 135.304, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 82418, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,null,"{""open_time"": ""13:06:06"", ""open_price"": 136.33, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:13:24"", ""close_price"": 135.304, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.026, ""gross_edge_cash"": 1026.0}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-14_132026.SH_T089,2026-08-14,132026.SH,sell_then_buy,13:11:44,136.238,13:13:21,135.303,0.935,100,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,837.94,837.94,2000,2000,2000,2000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132026.SH_T090,2026-08-14,132026.SH,buy_then_sell,13:13:21,135.303,13:15:43,136.443,1.14,100,1000,buy,sell,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1000.0,146852.48,146852.48,1000,1000,1000,1000,1000,2,1,"[{""order_id"": 753, ""kind"": ""low_bid_reversion"", ""limit_price"": 135.303, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""13:13:18"", ""updated_market_time"": ""13:13:21"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}, {""order_id"": 754, ""kind"": ""low_bid_reversion"", ""limit_price"": 135.304, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""13:13:21"", ""updated_market_time"": ""13:13:24"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": true}]",best_pair_both_legs_matched,"[{""order_id"": 754, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""13:13:24"", ""side"": ""buy"", ""price"": 135.304, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 82418, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 800, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""13:15:45"", ""side"": ""sell"", ""price"": 136.442, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 82528, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,"{""open_time"": ""13:13:24"", ""open_price"": 135.304, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:15:45"", ""close_price"": 136.442, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.138, ""gross_edge_cash"": 1138.0}","{""open_time"": ""13:07:15"", ""open_price"": 134.064, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:15:45"", ""close_price"": 136.442, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.378, ""gross_edge_cash"": 2378.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-14_132026.SH_T090,2026-08-14,132026.SH,buy_then_sell,13:13:21,135.303,13:15:43,136.443,1.14,100,1000,buy,sell,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,837.94,837.94,0,0,0,0,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed
2026-08-14_132026.SH_T091,2026-08-14,132026.SH,sell_then_buy,13:15:43,136.443,13:18:01,135.601,0.842,100,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,2000.0,2000.0,11548.48,11548.48,2000,2000,2000,2000,1000,1,1,"[{""order_id"": 800, ""kind"": ""inventory_exit"", ""limit_price"": 136.442, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""13:15:27"", ""updated_market_time"": ""13:15:45"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_open_leg_matched_only,"[{""order_id"": 800, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""13:15:45"", ""side"": ""sell"", ""price"": 136.442, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 82528, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132026.SH_T091,2026-08-14,132026.SH,sell_then_buy,13:15:43,136.443,13:18:01,135.601,0.842,100,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,837.94,837.94,2000,2000,2000,2000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132026.SH_T092,2026-08-14,132026.SH,buy_then_sell,13:18:01,135.601,13:18:20,135.996,0.395,100,1000,buy,sell,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1000.0,147990.48,147990.48,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,"{""open_time"": ""13:07:15"", ""open_price"": 134.064, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:28:15"", ""close_price"": 135.989, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.925, ""gross_edge_cash"": 1925.0}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-14_132026.SH_T092,2026-08-14,132026.SH,buy_then_sell,13:18:01,135.601,13:18:20,135.996,0.395,100,1000,buy,sell,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,837.94,837.94,0,0,0,0,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed
