turn_id,strategy_id,model_id,direction,maximum_edge,best_open_time,best_open_price,best_close_time,best_close_price,preliminary_status,causal_mode_in_status,final_capture_class,causal_reason,review_notes
2026-08-13_132026.SH_T045,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.492,10:58:29,136.993,10:58:33,136.501,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T045,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.492,10:58:29,136.993,10:58:33,136.501,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-13_132026.SH_T046,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.398,10:58:33,136.501,11:00:21,136.899,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T046,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.398,10:58:33,136.501,11:00:21,136.899,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-13_132026.SH_T047,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.139,11:00:21,136.899,11:00:25,136.76,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T047,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.139,11:00:21,136.899,11:00:25,136.76,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T048,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.227,11:00:25,136.76,11:02:48,136.987,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T048,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.227,11:00:25,136.76,11:02:48,136.987,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-13_132026.SH_T049,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.227,11:02:48,136.987,11:05:02,136.76,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T049,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.227,11:02:48,136.987,11:05:02,136.76,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
