turn_id,market_date,code,direction,best_open_time,best_open_price,best_close_time,best_close_price,maximum_edge,maximum_matchable_hands,best_pair_tape_capacity_bonds,expected_open_side,expected_close_side,strategy_id,fill_mode,model_id,initial_inventory_bonds,maximum_inventory_bonds,inventory_before_open_strict_bonds,inventory_after_open_second_bonds,cash_before_open_strict,cash_after_open_second,opening_action_capacity_strict_bonds,opening_action_capacity_including_same_second_bonds,opening_action_capacity_low_bonds,opening_action_capacity_high_bonds,standard_or_tape_required_bonds,active_reaching_open_order_count,preexisting_reaching_open_order_count,active_reaching_open_orders,exact_capture_status,matching_open_fills,matching_close_fills,economic_pair_within_turn,economic_pair_nearby_120s,economic_pair_cross_turn_600s,preliminary_status,causal_mode_in_status,final_capture_class
2026-08-14_132024.SH_T048,2026-08-14,132024.SH,sell_then_buy,13:05:44,136.737,13:06:26,136.731,0.006,100,1000,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,2000.0,1000.0,6023.3,142759.3,2000,1000,1000,2000,1000,4,2,"[{""order_id"": 472, ""kind"": ""inventory_exit"", ""limit_price"": 136.736, ""quantity_bonds"": 190.0, ""filled_quantity_bonds"": 190.0, ""created_market_time"": ""11:27:29"", ""updated_market_time"": ""13:05:44"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}, {""order_id"": 479, ""kind"": ""inventory_exit"", ""limit_price"": 136.736, ""quantity_bonds"": 810.0, ""filled_quantity_bonds"": 810.0, ""created_market_time"": ""11:29:11"", ""updated_market_time"": ""13:05:44"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}, {""order_id"": 480, ""kind"": ""inventory_exit"", ""limit_price"": 136.736, ""quantity_bonds"": 190.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""13:05:44"", ""updated_market_time"": ""13:05:50"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": true}, {""order_id"": 481, ""kind"": ""inventory_exit"", ""limit_price"": 136.736, ""quantity_bonds"": 810.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""13:05:44"", ""updated_market_time"": ""13:05:50"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": true}]",best_pair_open_leg_matched_only,"[{""order_id"": 472, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""13:05:44"", ""side"": ""sell"", ""price"": 136.736, ""quantity_bonds"": 190.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1810.0, ""reference_tick_id"": 82052, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}, {""order_id"": 479, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""13:05:44"", ""side"": ""sell"", ""price"": 136.736, ""quantity_bonds"": 810.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 82052, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,"{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:07:26"", ""close_price"": 136.202, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.534, ""gross_edge_cash"": 432.54}","{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:12:14"", ""close_price"": 136.103, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.633, ""gross_edge_cash"": 512.73}",economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed
2026-08-14_132024.SH_T048,2026-08-14,132024.SH,sell_then_buy,13:05:44,136.737,13:06:26,136.731,0.006,100,1000,sell,buy,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,1000,1,1,"[{""order_id"": 473, ""kind"": ""inventory_exit"", ""limit_price"": 136.737, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""11:27:29"", ""updated_market_time"": ""13:05:50"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 8000.0, ""final_queue_ahead_bonds"": 7000.0, ""created_same_second_as_tape"": false}]",not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132024.SH_T049,2026-08-14,132024.SH,sell_then_buy,13:06:54,136.721,13:06:54,136.2,0.521,100,1000,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,142759.3,142759.3,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,"{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:07:26"", ""close_price"": 136.202, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.534, ""gross_edge_cash"": 432.54}","{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:12:14"", ""close_price"": 136.103, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.633, ""gross_edge_cash"": 512.73}",economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed
2026-08-14_132024.SH_T049,2026-08-14,132024.SH,sell_then_buy,13:06:54,136.721,13:06:54,136.2,0.521,100,1000,sell,buy,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T050,2026-08-14,132024.SH,buy_then_sell,13:06:54,136.2,13:07:20,136.4,0.2,38,380,buy,sell,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,142759.3,142759.3,1000,1000,1000,1000,380,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T050,2026-08-14,132024.SH,buy_then_sell,13:06:54,136.2,13:07:20,136.4,0.2,38,380,buy,sell,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,380,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T051,2026-08-14,132024.SH,sell_then_buy,13:07:20,136.4,13:08:44,136.031,0.369,38,380,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,142759.3,142759.3,1000,1000,1000,1000,380,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,"{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:07:26"", ""close_price"": 136.202, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.534, ""gross_edge_cash"": 432.54}","{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:12:14"", ""close_price"": 136.103, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.633, ""gross_edge_cash"": 512.73}",economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed
2026-08-14_132024.SH_T051,2026-08-14,132024.SH,sell_then_buy,13:07:20,136.4,13:08:44,136.031,0.369,38,380,sell,buy,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,380,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T052,2026-08-14,132024.SH,buy_then_sell,13:08:44,136.031,13:11:44,136.496,0.465,100,1000,buy,sell,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,2000.0,2000.0,6557.3,6557.3,0,0,0,0,1000,0,0,[],best_pair_close_leg_matched_only,[],"[{""order_id"": 520, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""13:11:44"", ""side"": ""sell"", ""price"": 136.495, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 82348, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""13:07:26"", ""open_price"": 136.202, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:11:44"", ""close_price"": 136.495, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.293, ""gross_edge_cash"": 293.0}","{""open_time"": ""13:07:26"", ""open_price"": 136.202, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:11:44"", ""close_price"": 136.495, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.293, ""gross_edge_cash"": 293.0}","{""open_time"": ""13:07:26"", ""open_price"": 136.202, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:11:44"", ""close_price"": 136.495, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.293, ""gross_edge_cash"": 293.0}",economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed
2026-08-14_132024.SH_T052,2026-08-14,132024.SH,buy_then_sell,13:08:44,136.031,13:11:44,136.496,0.465,100,1000,buy,sell,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T053,2026-08-14,132024.SH,sell_then_buy,13:11:44,136.496,13:12:11,136.102,0.394,100,1000,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,2000.0,1000.0,6557.3,143052.3,2000,1000,1000,2000,1000,1,1,"[{""order_id"": 520, ""kind"": ""inventory_exit"", ""limit_price"": 136.495, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""13:11:38"", ""updated_market_time"": ""13:11:44"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_both_legs_matched,"[{""order_id"": 520, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""13:11:44"", ""side"": ""sell"", ""price"": 136.495, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 82348, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 523, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""13:12:14"", ""side"": ""buy"", ""price"": 136.103, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 82369, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,"{""open_time"": ""13:11:44"", ""open_price"": 136.495, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:12:14"", ""close_price"": 136.103, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.392, ""gross_edge_cash"": 392.0}","{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:12:14"", ""close_price"": 136.103, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.633, ""gross_edge_cash"": 512.73}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-14_132024.SH_T053,2026-08-14,132024.SH,sell_then_buy,13:11:44,136.496,13:12:11,136.102,0.394,100,1000,sell,buy,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,1000,1,1,"[{""order_id"": 521, ""kind"": ""inventory_exit"", ""limit_price"": 136.496, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""13:11:38"", ""updated_market_time"": ""13:11:47"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 3000.0, ""final_queue_ahead_bonds"": 2000.0, ""created_same_second_as_tape"": false}]",not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132024.SH_T054,2026-08-14,132024.SH,buy_then_sell,13:12:11,136.102,13:14:30,136.461,0.359,100,1000,buy,sell,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,143052.3,143052.3,1000,1000,1000,1000,1000,1,1,"[{""order_id"": 523, ""kind"": ""low_bid_reversion"", ""limit_price"": 136.103, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""13:11:47"", ""updated_market_time"": ""13:12:14"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_open_leg_matched_only,"[{""order_id"": 523, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""13:12:14"", ""side"": ""buy"", ""price"": 136.103, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 82369, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],"{""open_time"": ""13:12:14"", ""open_price"": 136.103, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:14:23"", ""close_price"": 136.46, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.357, ""gross_edge_cash"": 357.0}","{""open_time"": ""13:12:14"", ""open_price"": 136.103, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:14:23"", ""close_price"": 136.46, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.357, ""gross_edge_cash"": 357.0}","{""open_time"": ""13:12:14"", ""open_price"": 136.103, ""open_quantity_bonds"": 1000.0, ""close_time"": ""13:14:23"", ""close_price"": 136.46, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.357, ""gross_edge_cash"": 357.0}",economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed
2026-08-14_132024.SH_T054,2026-08-14,132024.SH,buy_then_sell,13:12:11,136.102,13:14:30,136.461,0.359,100,1000,buy,sell,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,138298.0,138298.0,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T055,2026-08-14,132024.SH,sell_then_buy,13:14:30,136.461,13:14:40,136.102,0.359,100,1000,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,143409.3,143409.3,1000,1000,1000,1000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,"{""open_time"": ""13:05:44"", ""open_price"": 136.736, ""open_quantity_bonds"": 810.0, ""close_time"": ""13:24:05"", ""close_price"": 136.011, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.725, ""gross_edge_cash"": 587.25}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
